NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2015;33;RJ;3303302;Niterói;33153442;VOLTAIRE COLEGIO E VESTIBULARES;4;1;50;0;39;78.00;502.21;574.48;521.54;496.39;597.95;;;Grupo 5;56.40;30.77;66.40;33.60;0.00;De 31 a 60 alunos
2009;33;RJ;3303302;Niterói;33153450;COLEGIO PH;4;1;161;;152;94.40;679.12;681.52;665.88;696.68;687.07;;;;;;92.70;7.30;0.00;Maior que 90 alunos
2010;33;RJ;3303302;Niterói;33153450;COLEGIO PH;4;1;198;;198;100.00;633.4;696.99;642.08;715.02;750.51;;;;;;95.20;4.80;0.00;Maior que 90 alunos
2011;33;RJ;3303302;Niterói;33153450;COLEGIO PH;4;1;192;;141;73.44;646.95;625.1;645.74;744.35;735.74;;;;;;98.50;1.50;0.00;Maior que 90 alunos
2012;33;RJ;3303302;Niterói;33153450;COLEGIO PH;4;1;203;;195;96.06;629.65;671.97;620.71;740.15;745.54;;;;;;97.70;2.30;0.00;Maior que 90 alunos
2015;33;RJ;3303302;Niterói;33153450;COLEGIO PH;4;1;242;0;237;97.93;621.83;669.43;614.41;696.87;797.47;;;Grupo 6;78.40;61.60;98.30;1.70;0.00;Maior que 90 alunos
2014;33;RJ;3303302;Niterói;33153450;COLEGIO PH;4;1;203;0;199;98.03;634.3;671.46;625.01;695.36;793.67;;;;82.70;63.82;96.90;3.10;0.00;Maior que 90 alunos
2013;33;RJ;3303302;Niterói;33153450;COLEGIO PH;4;1;192;0;184;95.83;625.09;673.82;619.52;701.15;791.30;;;;80.60;;97.50;2.50;0.00;Maior que 90 alunos
2009;33;RJ;3303302;Niterói;33153469;INSTITUTO ELO DE EDUCACAO;4;1;9;;10;100.00;582;595.06;600.21;592.78;602.50;;;;;;64.10;35.90;0.00;De 1 a 30 alunos
2011;33;RJ;3303302;Niterói;33153515;CENTRO EDUCACIONAL PALAS ATENA;4;1;15;;11;73.33;489.28;517.14;553.63;539.52;581.82;;;;;;100.00;0.00;0.00;De 1 a 30 alunos
2014;33;RJ;3303302;Niterói;33153515;CENTRO EDUCACIONAL PALAS ATENA;4;1;24;0;17;70.83;472.38;555.24;499.56;417.78;494.12;;;;69.20;70.59;78.80;21.20;0.00;De 1 a 30 alunos
2015;33;RJ;3303302;Niterói;33153515;CENTRO EDUCACIONAL PALAS ATENA;4;1;17;0;11;64.71;491.48;580.89;517.25;451.98;585.45;;;Grupo 5;76.90;9.09;96.50;1.80;1.70;De 1 a 30 alunos
2015;33;RJ;3303302;Niterói;33153795;COL DA POLICIA MILITAR DO EST DO RIO DE JANEIRO;2;1;29;0;28;96.55;542.15;610.23;554.61;597.01;650.71;;;Grupo 5;71.20;92.86;97.60;2.40;0.00;De 1 a 30 alunos
